asin,best_offer,image,price,title
B08NXK32ZX,"Em até 12x R$ 296,24 sem juros",https://m.media-amazon.com/images/I/41TS0WBcr0L._AC_.jpg,3554.44,        Apple iPhone 11 (128 GB) Branco       
B0CHXLC667,"ou R$ 10.999,00 em até 12x de R$ 916,62 sem juros",https://m.media-amazon.com/images/I/3115lGL9zTL._AC_.jpg,9899.1,        Apple iPhone 15 Pro Max (256 GB) — Titânio Azul       
B0BZYNB4F5,"Em até 10x R$ 153,90 sem juros",https://m.media-amazon.com/images/I/41bH-xW9CCL._AC_.jpg,1539.0,        Smartphone Xiaomi Note 12 5G 256GB - 8GB Ram (Versao Global) (Onyx Gray)       
B0BZHYZ6ND,"Em até 10x R$ 109,90 sem juros",https://m.media-amazon.com/images/I/41FrcqUxfVL._AC_.jpg,1099.0,        Smartphone Xiaomi Note 12 4G 128GB - 8GB Ram (Versao Global) (Mint Green)(M7U)       
B0BSXR9KB4,"Em até 10x R$ 117,90 sem juros",https://m.media-amazon.com/images/I/31X0ixpYghL._AC_.jpg,1179.0,        Smartphone Motorola Moto G53 5G 128GB 4GB RAM Grafite       
B0C7HJ8HP9,"Em até 10x R$ 104,00 sem juros",https://m.media-amazon.com/images/I/31XhaOAsR4L._AC_.jpg,1040.0,        Smartphone Redmi 12 4G 128GB - 4GB Ram (Versao Global) (Sky Blue)       
B0BSXQ4X6K,"Em até 10x R$ 59,50 sem juros",https://m.media-amazon.com/images/I/31+bRbisgrL._AC_.jpg,595.0,        Smartphone Motorola Moto E13 4G 32GB 2GB RAM Verde       
B0BRQKLQMD,"Em até 10x R$ 131,90 sem juros",https://m.media-amazon.com/images/I/41N53WbssoL._AC_.jpg,1319.0,"        Xiaomi POCOPHONE X5 5G (6+128GB, Preto)       "
B0C5NRMDDD,"Em até 10x R$ 207,80 sem juros",https://m.media-amazon.com/images/I/41RmLS3h3xL._AC_.jpg,2078.0,        Smartphone Xiaomi Note 12 Pro Plus 5G 256GB - 8GB Ram (Versao Global) (Midnight Black)       
B0BZYQKB9B,"Em até 10x R$ 78,24 sem juros",https://m.media-amazon.com/images/I/51Xfu6hNRkL._AC_.jpg,781.95,        Smartphone Xiaomi Redmi 12C 128GB 6GB Ram (Versao Global) (Ocean Blue)(C3T)       
B0CC6JJVJM,"Em até 10x R$ 120,98 sem juros",https://m.media-amazon.com/images/I/41i2bARv0ZL._AC_.jpg,1208.99,        Smartphone Xiaomi Redmi 12 4G 256GB - 8GB Ram (Versao Global) (Sky Blue)       
B0CC6GR1WX,"Em até 10x R$ 119,00 sem juros",https://m.media-amazon.com/images/I/41hUnMEimkL._AC_.jpg,1190.0,        Smartphone Xiaomi Redmi 12 4G 256GB - 8GB Ram (Versao Global) (Polar Silver)       
B0C8BNY5SJ,"Em até 10x R$ 97,17 sem juros",https://m.media-amazon.com/images/I/51sbcfZTKnL._AC_.jpg,971.7,        Smartphone Xiaomi Redmi Note 12 4G -128GB - 4GB Ram (Versao Global) (Mint Green)       
B0BRQL3FWQ,"Em até 10x R$ 147,10 sem juros",https://m.media-amazon.com/images/I/41aFSbVpXKL._AC_.jpg,1471.0,"        Xiaomi POCO X5 5G Smartphone Dual Sim 256GB Memory 8GB RAM 6.67"" AMOLED Display 5000mAh 48MP+13MP CAM (verde)       "
B0BF5V4RQH,"Em até 10x R$ 60,90 sem juros",https://m.media-amazon.com/images/I/31SXw+wxy7L._AC_.jpg,609.0,        Redmi 10C 64gb 3gb 4g Graphite Gray       
B0C9GG3F2F,"Em até 10x R$ 91,90 sem juros",https://m.media-amazon.com/images/I/31XT5Dwf49L._AC_.jpg,919.0,        Smartphone Redmi 12 4G 128GB - 4GB Ram (Versao Global) (Midnight Black)       
B0BZJ299Z1,"Em até 10x R$ 112,00 sem juros",https://m.media-amazon.com/images/I/41ojcZpHdXL._AC_.jpg,1120.0,        Smartphone Xiaomi Note 12 4G 128GB - 8GB Ram (Versao Global) (Ice Blue)       
B0BVMXFWZ1,"Em até 10x R$ 98,48 sem juros",https://m.media-amazon.com/images/I/31-Dv1yvgNL._AC_.jpg,983.99,        Samsung Galaxy A14 128GB 4G Wi-Fi Tela 6.6'' Dual Chip 4GB RAM Câmera Tripla de até 50MP + Selfie 13MP Bateria de 5000mAh - Preto       
B0BSB12436,"Em até 10x R$ 76,60 sem juros",https://m.media-amazon.com/images/I/41VUOljOsvL._AC_.jpg,766.0,        Samsung Galaxy A04s 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Tripla + Selfie 5MP Bateria de 5000mAh - Preto       
B0BT8HFMPX,"Em até 10x R$ 175,40 sem juros",https://m.media-amazon.com/images/I/41xsV4G30AL._AC_.jpg,1754.0,"        Smartphone Xiaomi POCO X5 Pro 5G Dual SIM 6GB 128GB 6,67"" FHD+ 108MP 5000mAh 67W Carregamento (Preto)       "
asin,best_offer,image,price,title
